iter	MultiClass
0	0.954353368
1	0.8439321585
2	0.7611310186
3	0.697176503
4	0.6384235764
5	0.5911295311
6	0.5478770342
7	0.5110228778
8	0.4793869144
9	0.4528745251
10	0.4291399608
11	0.4066194652
12	0.3873726818
13	0.3727005865
14	0.3574316843
15	0.3438674633
16	0.3317703784
17	0.3219010171
18	0.3121598349
19	0.3036863553
20	0.2962952149
21	0.2905243273
22	0.2842683283
23	0.2792873981
24	0.2741857133
25	0.2709570916
26	0.2669195442
27	0.2636357649
28	0.2606808911
29	0.2569845898
30	0.2539661509
31	0.2523399753
32	0.2502229815
33	0.2480737506
34	0.2461128147
35	0.2441006752
36	0.242482869
37	0.240905104
38	0.2395958452
39	0.2378956383
40	0.2367095907
41	0.2353953179
42	0.2339882138
43	0.2329893316
44	0.231931488
45	0.2309845359
46	0.2302338521
47	0.2296440394
48	0.2290804524
49	0.2285636893
