iter	Passed	Remaining
0	4	217
1	7	189
2	11	173
3	15	178
4	19	176
5	23	170
6	27	169
7	31	165
8	36	164
9	40	162
10	44	158
11	48	154
12	52	148
13	58	151
14	66	155
15	71	151
16	75	146
17	79	141
18	84	138
19	88	132
20	91	126
21	96	122
22	99	117
23	103	112
24	106	106
25	107	99
26	110	94
27	113	89
28	116	84
29	120	80
30	124	76
31	127	71
32	131	67
33	134	63
34	137	58
35	141	54
36	144	50
37	148	47
38	152	43
39	155	38
40	158	34
41	161	30
42	164	26
43	167	22
44	171	19
45	174	15
46	177	11
47	180	7
48	183	3
49	186	0
