id,sample_id,sample_label,capacitance_pf,carried_out_at,day_of_week,hour_of_day,elapsed_minutes_since_first_reading,category,group
2691,37,hasa_rc_01,8.4261,2026-04-11 04:35:08.204962,5,4,0,fresh,rc
2692,37,hasa_rc_01,7.233999999999,2026-04-11 04:35:24.204962,5,4,0,fresh,rc
2693,37,hasa_rc_01,8.29926,2026-04-11 04:35:37.204962,5,4,0,fresh,rc
2694,37,hasa_rc_01,7.03088,2026-04-11 04:35:52.204962,5,4,0,fresh,rc
2695,37,hasa_rc_01,7.272700000001,2026-04-11 04:36:06.204962,5,4,1,fresh,rc
2696,37,hasa_rc_01,7.7871,2026-04-11 04:36:21.204962,5,4,1,fresh,rc
2697,37,hasa_rc_01,7.917800000001,2026-04-11 04:36:37.204962,5,4,1,fresh,rc
2698,37,hasa_rc_01,7.5495,2026-04-11 04:36:53.204962,5,4,1,fresh,rc
1625,37,hasa_rc_01,3.274,2026-04-11 13:13:04.869198,6,13,277,moderate,rc
1626,37,hasa_rc_01,3.4115,2026-04-11 13:13:20.163574,6,13,278,moderate,rc
1627,37,hasa_rc_01,3.402,2026-04-11 13:13:34.275257,6,13,278,moderate,rc
1628,37,hasa_rc_01,3.4575,2026-04-11 13:13:43.415996,6,13,278,moderate,rc
1629,37,hasa_rc_01,3.466,2026-04-11 13:13:57.124785,6,13,278,moderate,rc
1630,37,hasa_rc_01,3.436,2026-04-11 13:14:11.221801,6,13,279,moderate,rc
1837,37,hasa_rc_01,3.591,2026-04-11 16:54:55.116950,6,16,499,moderate,rc
1839,37,hasa_rc_01,4.021,2026-04-11 16:56:22.385025,6,16,501,moderate,rc
1840,37,hasa_rc_01,4.144,2026-04-11 16:56:59.781959,6,16,501,moderate,rc
1841,37,hasa_rc_01,4.0605,2026-04-11 16:57:37.938911,6,16,502,moderate,rc
1842,37,hasa_rc_01,4.188,2026-04-11 16:57:52.174790,6,16,502,moderate,rc
1843,37,hasa_rc_01,3.718,2026-04-11 16:58:03.582858,6,16,502,moderate,rc
1844,37,hasa_rc_01,3.821,2026-04-11 16:58:18.061662,6,16,503,moderate,rc
1845,37,hasa_rc_01,3.8915,2026-04-11 16:58:31.404802,6,16,503,moderate,rc
1846,37,hasa_rc_01,3.7365,2026-04-11 16:58:44.866664,6,16,503,moderate,rc
2024,37,hasa_rc_01,3.311,2026-04-11 20:27:20.022569,6,20,712,moderate,rc
2025,37,hasa_rc_01,3.5675,2026-04-11 20:27:58.021102,6,20,712,moderate,rc
2026,37,hasa_rc_01,3.6020000000000003,2026-04-11 20:28:17.638080,6,20,713,moderate,rc
2027,37,hasa_rc_01,3.674,2026-04-11 20:28:32.814063,6,20,713,moderate,rc
2028,37,hasa_rc_01,3.667,2026-04-11 20:28:46.874561,6,20,713,moderate,rc
2029,37,hasa_rc_01,3.618,2026-04-11 20:29:02.489859,6,20,713,moderate,rc
2030,37,hasa_rc_01,3.6155,2026-04-11 20:29:16.967155,6,20,714,moderate,rc
2175,37,hasa_rc_01,3.412,2026-04-12 00:21:06.459466,0,0,946,moderate,rc
2176,37,hasa_rc_01,3.319,2026-04-12 00:21:26.325937,0,0,946,moderate,rc
2177,37,hasa_rc_01,3.121,2026-04-12 00:22:03.684733,0,0,946,moderate,rc
2178,37,hasa_rc_01,3.279,2026-04-12 00:22:20.418191,0,0,947,moderate,rc
2179,37,hasa_rc_01,3.338,2026-04-12 00:22:31.253281,0,0,947,moderate,rc
2180,37,hasa_rc_01,3.265,2026-04-12 00:22:40.210884,0,0,947,moderate,rc
2181,37,hasa_rc_01,3.177,2026-04-12 00:22:55.442270,0,0,947,moderate,rc
2302,37,hasa_rc_01,3.417,2026-04-12 04:08:09.047683,0,4,1173,moderate,rc
2305,37,hasa_rc_01,3.315,2026-04-12 04:10:30.324869,0,4,1175,moderate,rc
2307,37,hasa_rc_01,3.603,2026-04-12 04:12:50.789478,0,4,1177,moderate,rc
2308,37,hasa_rc_01,3.601,2026-04-12 04:13:10.070449,0,4,1178,moderate,rc
2309,37,hasa_rc_01,3.598,2026-04-12 04:13:28.238284,0,4,1178,moderate,rc
2310,37,hasa_rc_01,3.5965,2026-04-12 04:13:51.936691,0,4,1178,moderate,rc
2311,37,hasa_rc_01,3.6015,2026-04-12 04:14:08.315790,0,4,1179,moderate,rc
2312,37,hasa_rc_01,3.615,2026-04-12 04:14:23.212893,0,4,1179,moderate,rc
2510,37,hasa_rc_01,2.858,2026-04-12 14:50:10.655068,0,14,1815,spoiled,rc
2511,37,hasa_rc_01,2.8865,2026-04-12 14:50:29.150307,0,14,1815,spoiled,rc
2512,37,hasa_rc_01,2.885,2026-04-12 14:50:39.126767,0,14,1815,spoiled,rc
2513,37,hasa_rc_01,2.875,2026-04-12 14:51:01.027085,0,14,1815,spoiled,rc
2514,37,hasa_rc_01,2.879,2026-04-12 14:51:13.287509,0,14,1816,spoiled,rc
2515,37,hasa_rc_01,2.8755,2026-04-12 14:51:24.628306,0,14,1816,spoiled,rc
2516,37,hasa_rc_01,2.8855,2026-04-12 14:51:36.488963,0,14,1816,spoiled,rc
2517,37,hasa_rc_01,2.8975,2026-04-12 14:51:46.912410,0,14,1816,spoiled,rc
2658,37,hasa_rc_01,2.901,2026-04-12 18:21:22.813852,0,18,2026,spoiled,rc
2659,37,hasa_rc_01,2.901,2026-04-12 18:21:42.828346,0,18,2026,spoiled,rc
2660,37,hasa_rc_01,2.904,2026-04-12 18:21:59.340077,0,18,2026,spoiled,rc
2661,37,hasa_rc_01,2.8675,2026-04-12 18:22:13.235024,0,18,2027,spoiled,rc
2662,37,hasa_rc_01,2.905,2026-04-12 18:22:30.749539,0,18,2027,spoiled,rc
2663,37,hasa_rc_01,2.8635,2026-04-12 18:22:47.862525,0,18,2027,spoiled,rc
2664,37,hasa_rc_01,2.8595,2026-04-12 18:23:00.988571,0,18,2027,spoiled,rc
2699,38,hasa_rc_02,7.5737,2026-04-11 04:37:07.251149,5,4,0,fresh,rc
2700,38,hasa_rc_02,8.2899,2026-04-11 04:37:22.251149,5,4,0,fresh,rc
2701,38,hasa_rc_02,8.42333,2026-04-11 04:37:36.251149,5,4,0,fresh,rc
2702,38,hasa_rc_02,7.456900000001,2026-04-11 04:37:51.251149,5,4,0,fresh,rc
2703,38,hasa_rc_02,7.660199999999899,2026-04-11 04:38:08.251149,5,4,1,fresh,rc
2704,38,hasa_rc_02,8.364000000001,2026-04-11 04:38:22.251149,5,4,1,fresh,rc
2705,38,hasa_rc_02,7.46757,2026-04-11 04:38:38.251149,5,4,1,fresh,rc
2706,38,hasa_rc_02,7.27728,2026-04-11 04:38:53.251149,5,4,1,fresh,rc
1631,38,hasa_rc_02,3.3945,2026-04-11 13:14:45.064570,6,13,277,moderate,rc
