id,sample_id,sample_label,capacitance_pf,carried_out_at,day_of_week,hour_of_day,elapsed_minutes_since_first_reading,category,group
2757,42,hasa_rf_01,8.4261,2026-04-11 04:47:45.861652,5,4,0,fresh,rf
2758,42,hasa_rf_01,7.233999999999,2026-04-11 04:48:01.861652,5,4,0,fresh,rf
2759,42,hasa_rf_01,8.29926,2026-04-11 04:48:14.861652,5,4,0,fresh,rf
2760,42,hasa_rf_01,7.03088,2026-04-11 04:48:29.861652,5,4,0,fresh,rf
2761,42,hasa_rf_01,7.2727000000010005,2026-04-11 04:48:43.861652,5,4,1,fresh,rf
2762,42,hasa_rf_01,7.7871,2026-04-11 04:48:58.861652,5,4,1,fresh,rf
2763,42,hasa_rf_01,7.917800000001,2026-04-11 04:49:14.861652,5,4,1,fresh,rf
2764,42,hasa_rf_01,7.5495,2026-04-11 04:49:30.861652,5,4,1,fresh,rf
1423,42,hasa_rf_01,4.6025,2026-04-11 08:47:42.861652,6,8,240,moderate,rf
1424,42,hasa_rf_01,4.6240000000000006,2026-04-11 08:48:04.409048,6,8,240,moderate,rf
1425,42,hasa_rf_01,4.5555,2026-04-11 08:48:36.919075,6,8,240,moderate,rf
1426,42,hasa_rf_01,4.567,2026-04-11 08:48:53.200239,6,8,241,moderate,rf
1428,42,hasa_rf_01,4.713,2026-04-11 08:49:23.857009,6,8,241,moderate,rf
1429,42,hasa_rf_01,4.7435,2026-04-11 08:49:34.698923,6,8,241,moderate,rf
1430,42,hasa_rf_01,4.7495,2026-04-11 08:49:43.804084,6,8,242,moderate,rf
1431,42,hasa_rf_01,4.7115,2026-04-11 08:49:52.930631,6,8,242,moderate,rf
1432,42,hasa_rf_01,4.734,2026-04-11 08:50:04.656534,6,8,242,moderate,rf
1433,42,hasa_rf_01,4.7330000000000005,2026-04-11 08:50:15.548325,6,8,242,moderate,rf
1434,42,hasa_rf_01,4.729,2026-04-11 08:50:26.240472,6,8,242,moderate,rf
1693,42,hasa_rf_01,4.44,2026-04-11 13:37:48.468860,6,13,530,moderate,rf
1694,42,hasa_rf_01,4.4415,2026-04-11 13:38:13.373328,6,13,530,moderate,rf
1695,42,hasa_rf_01,4.4295,2026-04-11 13:38:22.247000,6,13,530,moderate,rf
1696,42,hasa_rf_01,4.4515,2026-04-11 13:38:34.272967,6,13,530,moderate,rf
1697,42,hasa_rf_01,4.484500000000001,2026-04-11 13:38:47.382974,6,13,531,moderate,rf
1916,42,hasa_rf_01,3.8855,2026-04-11 17:26:18.038041,6,17,758,moderate,rf
1917,42,hasa_rf_01,3.9535,2026-04-11 17:26:34.549971,6,17,758,moderate,rf
1918,42,hasa_rf_01,3.931,2026-04-11 17:26:46.931006,6,17,759,moderate,rf
1919,42,hasa_rf_01,3.9365,2026-04-11 17:27:04.573894,6,17,759,moderate,rf
1920,42,hasa_rf_01,3.92,2026-04-11 17:27:19.469334,6,17,759,moderate,rf
1921,42,hasa_rf_01,3.92,2026-04-11 17:27:33.530627,6,17,759,moderate,rf
1922,42,hasa_rf_01,3.912,2026-04-11 17:27:44.022559,6,17,760,moderate,rf
2100,42,hasa_rf_01,4.3705,2026-04-11 21:07:00.640483,6,21,979,moderate,rf
2101,42,hasa_rf_01,4.416499999999999,2026-04-11 21:07:30.016001,6,21,979,moderate,rf
2102,42,hasa_rf_01,4.4135,2026-04-11 21:07:43.225732,6,21,980,moderate,rf
2103,42,hasa_rf_01,4.3260000000000005,2026-04-11 21:07:55.352534,6,21,980,moderate,rf
2104,42,hasa_rf_01,4.428,2026-04-11 21:08:12.415411,6,21,980,moderate,rf
2105,42,hasa_rf_01,4.3625,2026-04-11 21:08:24.507103,6,21,980,moderate,rf
2106,42,hasa_rf_01,4.2685,2026-04-11 21:08:42.571320,6,21,980,moderate,rf
2107,42,hasa_rf_01,4.436,2026-04-11 21:08:59.305163,6,21,981,moderate,rf
2108,42,hasa_rf_01,4.4015,2026-04-11 21:09:10.561937,6,21,981,moderate,rf
2238,42,hasa_rf_01,3.5835,2026-04-12 00:46:30.287514,0,0,1198,moderate,rf
