id,sample_id,sample_label,capacitance_pf,carried_out_at,day_of_week,hour_of_day,elapsed_minutes_since_first_reading,category
91,13,hasa_batt_supply_05,5.5245,2026-04-16T08:18:10.602173,4,8,0,fresh
92,13,hasa_batt_supply_05,5.4435,2026-04-16T08:18:32.971870,4,8,0,fresh
93,13,hasa_batt_supply_05,5.551,2026-04-16T08:18:41.960724,4,8,0,fresh
94,13,hasa_batt_supply_05,5.5344999999999995,2026-04-16T08:18:50.566861,4,8,0,fresh
95,13,hasa_batt_supply_05,5.5205,2026-04-16T08:19:03.093733,4,8,0,fresh
96,13,hasa_batt_supply_05,5.504,2026-04-16T08:19:14.603022,4,8,1,fresh
97,13,hasa_batt_supply_05,5.5205,2026-04-16T08:19:23.893448,4,8,1,fresh
172,13,hasa_batt_supply_05,3.9615,2026-04-16T11:10:02.437014,4,11,171,moderate
206,13,hasa_batt_supply_05,3.8165,2026-04-16T11:25:07.676751,4,11,186,moderate
208,13,hasa_batt_supply_05,3.8185000000000002,2026-04-16T11:25:33.397426,4,11,187,moderate
209,13,hasa_batt_supply_05,3.8265000000000002,2026-04-16T11:25:45.990733,4,11,187,moderate
210,13,hasa_batt_supply_05,3.8405,2026-04-16T11:25:57.584136,4,11,187,moderate
211,13,hasa_batt_supply_05,3.8475,2026-04-16T11:26:09.509276,4,11,187,moderate
212,13,hasa_batt_supply_05,3.848,2026-04-16T11:26:19.033785,4,11,188,moderate
213,13,hasa_batt_supply_05,3.8585000000000003,2026-04-16T11:26:28.107817,4,11,188,moderate
264,13,hasa_batt_supply_05,3.7880000000000003,2026-04-16T11:41:38.534480,4,11,203,moderate
336,13,hasa_batt_supply_05,3.004,2026-04-16T13:33:00.735396,4,13,314,moderate
337,13,hasa_batt_supply_05,3.021,2026-04-16T13:33:12.161295,4,13,315,moderate
338,13,hasa_batt_supply_05,3.0214999999999996,2026-04-16T13:33:22.285895,4,13,315,moderate
339,13,hasa_batt_supply_05,3.029,2026-04-16T13:33:32.743927,4,13,315,moderate
340,13,hasa_batt_supply_05,3.026,2026-04-16T13:33:43.486403,4,13,315,moderate
400,13,hasa_batt_supply_05,2.985,2026-04-16T16:02:48.749113,4,16,464,spoiled
