id,sample_id,sample_label,capacitance_pf,carried_out_at,day_of_week,hour_of_day,elapsed_minutes_since_first_reading,category
1377,36,hasa_nr_05,5.153,2026-04-11 08:31:36.922829,6,8,120,moderate
1378,36,hasa_nr_05,5.0615000000000006,2026-04-11 08:32:02.075756,6,8,120,moderate
1379,36,hasa_nr_05,5.0705,2026-04-11 08:32:17.471121,6,8,120,moderate
1380,36,hasa_nr_05,5.0145,2026-04-11 08:32:31.685297,6,8,120,moderate
1381,36,hasa_nr_05,5.006,2026-04-11 08:32:44.545304,6,8,121,moderate
1382,36,hasa_nr_05,5.015000000000001,2026-04-11 08:32:58.119391,6,8,121,moderate
1383,36,hasa_nr_05,4.983499999999999,2026-04-11 08:33:11.229310,6,8,121,moderate
1384,36,hasa_nr_05,4.9955,2026-04-11 08:33:23.740188,6,8,121,moderate
1584,36,hasa_nr_05,2.531,2026-04-11 10:54:04.965048,6,10,262,spoiled
1585,36,hasa_nr_05,2.654,2026-04-11 10:54:20.145067,6,10,262,spoiled
1586,36,hasa_nr_05,2.6805000000000003,2026-04-11 10:54:33.589172,6,10,262,spoiled
1587,36,hasa_nr_05,2.677,2026-04-11 10:54:47.983858,6,10,263,spoiled
1588,36,hasa_nr_05,2.662,2026-04-11 10:55:02.700975,6,10,263,spoiled
1589,36,hasa_nr_05,2.6425,2026-04-11 10:55:15.805973,6,10,263,spoiled
1590,36,hasa_nr_05,2.688,2026-04-11 10:55:29.449950,6,10,263,spoiled
1591,36,hasa_nr_05,2.693,2026-04-11 10:55:43.745552,6,10,264,spoiled
1619,36,hasa_nr_05,2.928,2026-04-11 13:07:49.215998,6,13,396,spoiled
1620,36,hasa_nr_05,2.85,2026-04-11 13:08:03.944003,6,13,396,spoiled
1621,36,hasa_nr_05,2.8105,2026-04-11 13:08:22.510935,6,13,396,spoiled
1622,36,hasa_nr_05,2.6815,2026-04-11 13:08:32.952037,6,13,396,spoiled
1623,36,hasa_nr_05,2.6445,2026-04-11 13:08:46.478109,6,13,397,spoiled
1624,36,hasa_nr_05,2.6805,2026-04-11 13:08:56.987126,6,13,397,spoiled
1783,36,hasa_nr_05,1.7995,2026-04-11 14:16:09.911075,6,14,464,spoiled
1784,36,hasa_nr_05,1.872,2026-04-11 14:16:23.869966,6,14,464,spoiled
1785,36,hasa_nr_05,1.937,2026-04-11 14:16:37.114412,6,14,465,spoiled
1786,36,hasa_nr_05,1.976,2026-04-11 14:16:49.173410,6,14,465,spoiled
1787,36,hasa_nr_05,2.0595,2026-04-11 14:17:02.467383,6,14,465,spoiled
1788,36,hasa_nr_05,1.9775,2026-04-11 14:17:17.080861,6,14,465,spoiled
1789,36,hasa_nr_05,1.9795,2026-04-11 14:17:31.724387,6,14,465,spoiled
1826,36,hasa_nr_05,1.8625,2026-04-11 16:40:06.089117,6,16,608,spoiled
1827,36,hasa_nr_05,1.9555,2026-04-11 16:40:20.851276,6,16,608,spoiled
1828,36,hasa_nr_05,1.917,2026-04-11 16:40:30.707262,6,16,608,spoiled
1829,36,hasa_nr_05,1.868,2026-04-11 16:40:39.632010,6,16,609,spoiled
1830,36,hasa_nr_05,1.875,2026-04-11 16:40:48.472099,6,16,609,spoiled
1831,36,hasa_nr_05,1.947,2026-04-11 16:41:05.720035,6,16,609,spoiled
2019,36,hasa_nr_05,1.883,2026-04-11 20:23:20.964431,6,20,831,spoiled
2020,36,hasa_nr_05,1.763,2026-04-11 20:23:30.556099,6,20,831,spoiled
2021,36,hasa_nr_05,1.891,2026-04-11 20:23:49.907139,6,20,832,spoiled
2022,36,hasa_nr_05,1.857,2026-04-11 20:24:02.065421,6,20,832,spoiled
2023,36,hasa_nr_05,1.8905,2026-04-11 20:24:13.340463,6,20,832,spoiled
1368,35,hasa_nr_04,5.203,2026-04-11 08:25:14.966764,6,8,120,moderate
1369,35,hasa_nr_04,6.75,2026-04-11 08:25:44.772381,6,8,120,moderate
1371,35,hasa_nr_04,4.89,2026-04-11 08:30:03.080876,6,8,124,moderate
1372,35,hasa_nr_04,4.772,2026-04-11 08:30:17.307766,6,8,125,moderate
1373,35,hasa_nr_04,4.765,2026-04-11 08:30:30.650240,6,8,125,moderate
1374,35,hasa_nr_04,4.759,2026-04-11 08:30:41.978566,6,8,125,moderate
1375,35,hasa_nr_04,4.749,2026-04-11 08:30:52.535863,6,8,125,moderate
1376,35,hasa_nr_04,4.6555,2026-04-11 08:31:05.431805,6,8,125,moderate
1578,35,hasa_nr_04,2.783,2026-04-11 10:52:09.807896,6,10,266,spoiled
1579,35,hasa_nr_04,2.532,2026-04-11 10:52:23.683907,6,10,267,spoiled
1580,35,hasa_nr_04,2.326,2026-04-11 10:52:40.365050,6,10,267,spoiled
1581,35,hasa_nr_04,3.039,2026-04-11 10:52:54.561096,6,10,267,spoiled
1582,35,hasa_nr_04,2.8745000000000003,2026-04-11 10:53:08.137935,6,10,267,spoiled
1583,35,hasa_nr_04,2.773,2026-04-11 10:53:22.198621,6,10,268,spoiled
1612,35,hasa_nr_04,2.64,2026-04-11 13:04:31.091597,6,13,399,spoiled
1613,35,hasa_nr_04,2.7055,2026-04-11 13:04:46.318714,6,13,399,spoiled
1614,35,hasa_nr_04,2.6185,2026-04-11 13:04:55.855633,6,13,399,spoiled
1615,35,hasa_nr_04,2.6260000000000003,2026-04-11 13:05:05.215603,6,13,399,spoiled
1616,35,hasa_nr_04,2.5700000000000003,2026-04-11 13:05:18.411563,6,13,400,spoiled
1617,35,hasa_nr_04,2.67,2026-04-11 13:05:34.424704,6,13,400,spoiled
1618,35,hasa_nr_04,2.7030000000000003,2026-04-11 13:05:47.417862,6,13,400,spoiled
1776,35,hasa_nr_04,2.185,2026-04-11 14:10:54.089938,6,14,465,spoiled
1778,35,hasa_nr_04,2.4325,2026-04-11 14:14:17.888373,6,14,469,spoiled
1779,35,hasa_nr_04,2.4005,2026-04-11 14:14:32.782206,6,14,469,spoiled
1780,35,hasa_nr_04,2.404,2026-04-11 14:14:47.876875,6,14,469,spoiled
1781,35,hasa_nr_04,1.978,2026-04-11 14:15:08.309933,6,14,469,spoiled
1782,35,hasa_nr_04,2.2135,2026-04-11 14:15:23.071516,6,14,470,spoiled
1820,35,hasa_nr_04,2.0915,2026-04-11 16:38:34.399247,6,16,613,spoiled
1821,35,hasa_nr_04,1.812,2026-04-11 16:38:50.261745,6,16,613,spoiled
1822,35,hasa_nr_04,2.042,2026-04-11 16:39:06.558074,6,16,613,spoiled
1823,35,hasa_nr_04,1.8675,2026-04-11 16:39:16.449036,6,16,614,spoiled
1824,35,hasa_nr_04,1.77,2026-04-11 16:39:25.755667,6,16,614,spoiled
1825,35,hasa_nr_04,1.767,2026-04-11 16:39:35.615783,6,16,614,spoiled
